overall_review,overall_review_count,recent_review,recent_review_count,genres,categories,age_rating,discount_percentage
98,323872,98,3052,"Action, Adventure","Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0,-59
74,6183,66,165,"Action, Adventure, RPG","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-65
93,44441,91,542,"Action, Indie","Single-player, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-50
57,1384,46,54,"Action, Strategy","Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",1,-80
95,8596,88,394,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-30
72,3396,65,334,Action,"Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Family Sharing",0,-40
86,31246,86,272,"Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-80
91,3380,94,111,"Action, Adventure, Casual, Indie, Strategy","Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",0,-20
76,71226,44,616,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","Single-player, MMO, VR Supported, In-App Purchases, Remote Play on Tablet, Family Sharing",1,-70
96,119917,95,315,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing",0,-75
95,18683,96,120,RPG,"Single-player, Steam Cloud, Family Sharing",0,-75
95,4489,93,166,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-40
91,19818,93,243,"Adventure, Indie, Simulation, Strategy","Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0,-75
91,9793,91,184,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",1,-60
62,10982,65,266,"Action, Adventure, RPG, Early Access","Single-player, Online Co-op, Steam Achievements, Family Sharing",0,-20
93,18091,92,453,"Action, Adventure, Indie, Racing, Simulation","Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Leaderboards, Remote Play on TV, Family Sharing",0,-70
91,12535,90,318,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-62
74,16986,82,56,"Action, Adventure, Indie, RPG","Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing",0,-80
86,12982,77,49,"Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",0,-50
86,2320,85,69,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-30
92,9462,92,57,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0,-80
51,324,61,54,Strategy,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",1,-67
76,744,58,55,"Racing, Simulation, Sports","Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-60
84,11148,81,104,"Adventure, Casual, Indie","Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-62
89,6981,70,27,Strategy,"Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",0,-80
98,12425,98,205,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",1,-40
85,41852,82,207,"Action, Adventure, RPG","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-70
98,16880,100,111,Indie,"Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-30
65,29340,74,344,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, Family Sharing",1,-70
95,16341,90,186,Action,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",1,-90
82,60064,45,336,"Action, Massively Multiplayer, Racing","Single-player, MMO, Online PvP, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",1,-80
73,3929,75,72,"Action, Adventure, Indie, RPG, Simulation, Early Access","Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Cloud, Family Sharing",0,-25
97,72001,95,1082,"Action, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing",0,-25
81,4692,74,82,Racing,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-85
93,101978,91,363,Action,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-75
85,43331,86,451,Action,"Single-player, Steam Achievements",0,-70
95,7005,95,41,Strategy,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",0,-80
84,8981,79,99,"Action, Adventure, Indie, Strategy","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",0,-70
89,32982,92,256,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",0,-80
83,2037,83,54,"Action, Indie, RPG, Early Access","Single-player, Family Sharing",0,-33
95,34926,95,269,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",1,-75
86,256,85,27,"Action, Adventure, Indie, RPG, Simulation, Early Access","Single-player, Online Co-op, Family Sharing",0,-10
79,7109,84,225,Racing,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",0,-90
86,5299,95,89,Adventure,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",1,-34
98,134295,98,1334,Action,"Single-player, Steam Achievements, Captions available, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,-90
85,56544,81,422,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-56
96,17323,93,102,Strategy,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,-80
93,13906,92,100,"Indie, Strategy","Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Family Sharing",0,-75
95,22693,93,619,"Action, Indie","Online PvP, Shared/Split Screen PvP, Remote Play Together, Family Sharing",0,-50
67,5810,41,516,"Racing, Simulation, Sports","Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, VR Supported, Steam Cloud, HDR available",1,-30
96,15205,95,135,"Action, Adventure, Indie, RPG","Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1,-75
92,843,88,26,"Indie, Strategy","Single-player, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Remote Play Together, Family Sharing",0,-60
97,23331,97,905,"Action, Adventure, Indie","Single-player, Steam Cloud, Family Sharing",0,-25
94,11168,97,72,"Action, Adventure, Casual, Indie","Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",0,-33
93,94279,90,533,"Action, Casual, Indie","Online PvP, Shared/Split Screen PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,-60
71,71007,72,174,"Action, Adventure, RPG","Single-player, Steam Trading Cards, In-App Purchases",0,-85
78,29349,74,237,"Action, Adventure, Indie, Massively Multiplayer, Early Access","Online PvP, Online Co-op, Family Sharing",0,-60
85,9408,87,213,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-67
79,1267,82,28,"Action, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",1,-60
83,1053,82,56,"Adventure, Indie, Massively Multiplayer","Single-player, MMO, Family Sharing",0,-40
95,34623,94,308,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",1,-90
94,7279,95,82,"Indie, Strategy","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Steam Turn Notifications, Remote Play Together, Family Sharing",0,-50
92,16369,92,190,"Action, Indie, Strategy","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing",0,-40
86,6367,92,57,Action,"Single-player, Online Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Steam Leaderboards, Family Sharing",0,-85
84,296,88,45,"Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0,-30
60,8997,64,199,"Action, Adventure",Single-player,1,-80
94,22147,93,197,"Action, Adventure","Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Commentary available, Remote Play on TV, Family Sharing",0,-50
76,7916,70,51,Strategy,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-80
44,2617,34,23,"Sports, Strategy","Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",1,-50
84,7436,82,233,"Action, Indie","Online PvP, Online Co-op, Steam Achievements, Steam Leaderboards, Family Sharing",0,-50
87,30575,80,140,"Action, Adventure, Casual, Indie, Strategy","Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",0,-30
85,26422,87,200,"Adventure, Strategy","Single-player, Steam Achievements",1,-70
84,27707,80,362,"Action, Adventure","Single-player, Family Sharing",0,-65
96,52725,97,539,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-90
79,841,87,39,"Action, Adventure","Single-player, Online Co-op, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",0,-35
70,2563,76,65,"Action, Adventure, RPG","Single-player, In-App Purchases",1,-85
95,26449,92,210,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",0,-85
82,2505,77,61,"Adventure, Indie, RPG, Simulation, Sports, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-40
74,354,68,88,"Indie, Simulation, Strategy","Single-player, Family Sharing",0,-20
69,4904,60,28,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-80
49,12441,55,29,"Action, Simulation, Strategy","Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Includes level editor, Family Sharing",1,-80
93,1350,91,34,"Action, Adventure, Indie, RPG","Single-player, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",1,-34
90,32824,85,235,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0,-75
77,1666,76,34,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-50
90,33606,90,727,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-50
91,23052,90,161,"Indie, Simulation, Strategy","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0,-81
94,26577,88,213,"Action, Adventure, RPG","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Captions available, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0,-33
63,19483,58,374,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",1,-37
84,999,72,18,Adventure,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",1,-65
85,3443,86,45,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,-84
95,9960,92,107,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-40
96,25383,96,302,"Action, Indie","Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",0,-55
86,11231,85,102,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-30
89,5420,86,66,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1,-90
81,1971,76,34,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-60
93,285,92,57,"Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",0,-20
90,566,88,54,"Indie, Strategy, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-20
